Année;UAI;Libellé;Région;DEVENIR Part poursuite études;DEVENIR Part en emploi 6 mois;DEVENIR Part autre situation 6 mois;Part contrats apprentissage interrompus;Taux poursuite études;Taux emploi 6 mois;Taux emploi 6 mois attendu;VA emploi 6 mois;Taux emploi 12 mois;Taux emploi 18 mois;Taux emploi 24 mois;num_ligne
cumul 2019-2020;0922379L;Organisme de formation-Centre de formation d'apprentis AGEFA PME Ile-de-France - Puteaux;ILE-DE-FRANCE;;;;;35.0;55.0;60.0;-5.0;56.0;63.0;68.0;1504.0
cumul 2019-2020;0932751K;Agence Nationale pour la Formation Professionnelle des Adultes - Entreprises;ILE-DE-FRANCE;;;;;24.0;60.0;56.0;4.0;58.0;60.0;64.0;1507.0
cumul 2019-2020;0951963T;Site de formation d'apprentis CMA95 - IMA Val Parisis - Eaubonne - Val d'Oise;ILE-DE-FRANCE;;;;;38.0;57.0;55.0;2.0;59.0;63.0;64.0;1516.0
cumul 2019-2020;9730446X;CENTRE FORMATION APPRENTIS PUBLIC LPO MELKIOR GARRE;GUYANE;;;;;22.0;40.0;51.0;-11.0;48.0;58.0;65.0;1526.0
cumul 2019-2020;9730469X;CFA DE LA CCI REG GUYANE;GUYANE;;;;;32.0;45.0;43.0;1.0;45.0;51.0;46.0;1527.0
cumul 2019-2020;0030126W;Centre de formation d'apprentis - Ecole des métiers du bâtiment;AUVERGNE-RHONE-ALPES;;;;;38.0;62.0;63.0;-2.0;65.0;70.0;77.0;1533.0
cumul 2019-2020;0080951R;Maison Familiale Rurale de Lucquy;GRAND EST;;;;;;;;;;;;1541.0
cumul 2019-2020;0134299C;ALTERNANCE EXXECC;PROVENCE-ALPES-COTE D'AZUR;;;;;;;;;;;;1556.0
cumul 2019-2020;0190807Z;CENTRE DE FORMATION D'APPRENTIS INCLUSIF NOUVELLE AQUITAINRE;NOUVELLE-AQUITAINE;;;;;38.0;;;;;;;1563.0
cumul 2019-2020;0212057X;CFA des MFR de Bourgogne;BOURGOGNE-FRANCHE-COMTE;;;;;26.0;69.0;67.0;2.0;72.0;70.0;78.0;1571.0
cumul 2019-2020;0221804S;CFA DE CAULNES;BRETAGNE;;;;;20.0;;;;;;;1573.0
cumul 2019-2020;0332197J;Organisme de formation-Centre de formation d'apprentis du bâtiment et des travaux publics de la Gironde;NOUVELLE-AQUITAINE;;;;;41.0;64.0;64.0;-1.0;70.0;69.0;74.0;1588.0
cumul 2019-2020;0333131Z;Organisme de formation - Centre de formation d'apprentis Multimétiers de la Haute Gironde;NOUVELLE-AQUITAINE;;;;;33.0;54.0;57.0;-3.0;62.0;54.0;54.0;1591.0
cumul 2019-2020;0342318K;Organisme de formation-Centre de formation d'apprentis de Purple Campus Pérols;OCCITANIE;;;;;31.0;54.0;56.0;-2.0;63.0;62.0;70.0;1595.0
cumul 2019-2020;0352492U;CFA agricole privé MFR Bretagne;BRETAGNE;;;;;27.0;68.0;62.0;6.0;75.0;77.0;74.0;1600.0
cumul 2019-2020;0352949R;OF - CFA Optima Vezin;BRETAGNE;;;;;;;;;;;;1602.0
cumul 2019-2020;0382432M;Maison Familiale Rurale La Grive Bourgoin-Jallieu;AUVERGNE-RHONE-ALPES;;;;;;;;;;;;1610.0
cumul 2019-2020;0421139K;Organisme de formation-Centre de formation d'apprentis BTP Loire-Michel Cluzel ST ETIENNE;AUVERGNE-RHONE-ALPES;;;;;39.0;70.0;68.0;2.0;78.0;73.0;76.0;1619.0
