Année;UAI;Libellé;Région;Niveau formation;Taux poursuite études;Taux emploi 6 mois;Taux interruption formation;Part contrats apprentissage interrompus;Taux emploi 12 mois;Taux emploi 18 mois;Taux emploi 24 mois;num_ligne
cumul 2023-2024;0673055G;FILEA Institut;GRAND EST;BTS;;;;86.0;;;;30002.0
cumul 2023-2024;0673141A;Cap Compétences - Activateur de talents;GRAND EST;BTS;;;;;;;;30006.0
cumul 2023-2024;0673147G;Centre de formation des Apprentis de l'académie de Strasbourg;GRAND EST;Autres formations de niveau 4;21.0;76.0;;20.0;;;;30013.0
cumul 2023-2024;0673147G;Centre de formation des Apprentis de l'académie de Strasbourg;GRAND EST;BAC;38.0;70.0;;38.0;;;;30015.0
cumul 2023-2024;0673147G;Centre de formation des Apprentis de l'académie de Strasbourg;GRAND EST;BP;23.0;78.0;34.0;37.0;;;;30016.0
cumul 2023-2024;0673152M;Organisme de formations professionnelles et de formations en apprentissage ACT'IN Formations;GRAND EST;Autres formations de niveau 3;4.0;49.0;;26.0;;;;30022.0
cumul 2023-2024;0673193G;OCF-EST;GRAND EST;Autres formations de niveau 4;77.0;;;58.0;;;;30042.0
cumul 2023-2024;0673195J;LCS International SAS;GRAND EST;CAP;;;;;;;;30046.0
cumul 2023-2024;0673233A;Ecole Supérieure de conduite de travaux;GRAND EST;Autres formations de niveau 5;;;;;;;;30050.0
cumul 2023-2024;0681498J;Centre de Formation d'apprentis Centre Alsace Marcel Rudloff;GRAND EST;CAP;58.0;53.0;27.0;36.0;;;;30056.0
cumul 2023-2024;0681710P;Centre de Formation d'apprentis de l'artisanat;GRAND EST;BP;32.0;51.0;33.0;38.0;;;;30062.0
cumul 2023-2024;0681710P;Centre de Formation d'apprentis de l'artisanat;GRAND EST;BTS;10.0;85.0;32.0;26.0;;;;30063.0
cumul 2023-2024;0681710P;Centre de Formation d'apprentis de l'artisanat;GRAND EST;MC3;73.0;;23.0;13.0;;;;30065.0
cumul 2023-2024;0681750H;Centre de Formation d'apprentis agricole de Rouffach;GRAND EST;Autres formations de niveau 3;13.0;85.0;;4.0;;;;30066.0
cumul 2023-2024;0681750H;Centre de Formation d'apprentis agricole de Rouffach;GRAND EST;BTS;33.0;73.0;33.0;26.0;;;;30068.0
cumul 2023-2024;0681832X;Centre de Formation d'apprentis de l'Industrie d'Alsace;GRAND EST;Autres formations de niveau 3;;;;;;;;30071.0
cumul 2023-2024;0681832X;Centre de Formation d'apprentis de l'Industrie d'Alsace;GRAND EST;Autres formations de niveau 4;55.0;55.0;;9.0;;;;30072.0
cumul 2023-2024;0681983L;Centre de formation d'apprentis de l'hotellerie et restauration;GRAND EST;BTS;;;;36.0;;;;30082.0
cumul 2023-2024;0682016X;Centre de formation d'apprentis Homnéo Business School Wittelsheim;GRAND EST;BTS;53.0;60.0;51.0;49.0;;;;30086.0
cumul 2023-2024;0682019A;KEDI Formation;GRAND EST;Autres formations de niveau 4;;;;50.0;;;;30087.0
cumul 2023-2024;0682019A;KEDI Formation;GRAND EST;BTS;46.0;64.0;67.0;46.0;;;;30088.0
cumul 2023-2024;0682076M;Ecole supérieure de Commerce des trois frontières;GRAND EST;BTS;;;;72.0;;;;30092.0
cumul 2023-2024;0682085X;CFA Centre des apprentis d'Alsace;GRAND EST;Autres formations de niveau 4;;;;35.0;;;;30093.0
cumul 2023-2024;0682085X;CFA Centre des apprentis d'Alsace;GRAND EST;BTS;48.0;73.0;34.0;42.0;;;;30095.0
cumul 2023-2024;0682085X;CFA Centre des apprentis d'Alsace;GRAND EST;CAP;25.0;51.0;29.0;37.0;;;;30096.0
cumul 2023-2024;0682087Z;S2B - Sahneo;GRAND EST;CAP;;;;;;;;30101.0
cumul 2023-2024;0682093F;The Influencer high school;GRAND EST;Autres formations de niveau 5;50.0;;;37.0;;;;30102.0
cumul 2023-2024;0690723L;Etablissement de formation continue Carrel centre de formation;AUVERGNE-RHONE-ALPES;BAC;57.0;64.0;;53.0;;;;30109.0
cumul 2023-2024;0692214G;Organisme de formation-Centre de formation d'apprentis BTP Philibert de l'Orme (AFOBAT) DARDILLY;AUVERGNE-RHONE-ALPES;MC3;;;;;;;;30120.0
cumul 2023-2024;0692360R;Organisme de formation-Centre de formation d'apprentis Centre Textile Régional Association Régionale Pour La Formation Alternée LIMAS;AUVERGNE-RHONE-ALPES;Autres formations de niveau 4;;;;15.0;;;;30123.0
cumul 2023-2024;0692366X;Etablissement de formation continue  Centre de Formation continue des Métiers des Arts de la Coiffure;AUVERGNE-RHONE-ALPES;MC3;;;;;;;;30134.0
cumul 2023-2024;0692514H;Organisme de formation-Centre de formation d'apprentis Société d'Enseignement Professionnel du Rhône LYON;AUVERGNE-RHONE-ALPES;MC3;34.0;65.0;21.0;23.0;;;;30142.0
cumul 2023-2024;0692710W;Maison Familiale Rurale d'Anse;AUVERGNE-RHONE-ALPES;BTS;;;;20.0;;;;30153.0
cumul 2023-2024;0692780X;Organisme de formation-Centre de formation d'apprentis Centre Textile Régional MAYA CAMPUS LYON;AUVERGNE-RHONE-ALPES;BAC;34.0;54.0;;27.0;;;;30159.0
cumul 2023-2024;0693088G;Organisme de formation-Centre de formation d'apprentis des Compagnons du Devoir LYON;AUVERGNE-RHONE-ALPES;BAC;67.0;86.0;;41.0;;;;30190.0
cumul 2023-2024;0693306U;Organisme de formation-Centre de formation d'apprentis IGS LYON;AUVERGNE-RHONE-ALPES;BAC;48.0;;;52.0;;;;30197.0
cumul 2023-2024;0693328T;Organisme de formation-Centre de formation d'apprentis INTERFORA IFAIP ST FONS;AUVERGNE-RHONE-ALPES;BAC;41.0;67.0;;7.0;;;;30201.0
cumul 2023-2024;0693492W;CFA de Rhône Alpes;AUVERGNE-RHONE-ALPES;BAC;39.0;70.0;;41.0;;;;30220.0
cumul 2023-2024;0693501F;Centre de formation continue Régional Techniques Avancées C.E.R.T.A.;AUVERGNE-RHONE-ALPES;Autres formations de niveau 4;;;;;;;;30225.0
cumul 2023-2024;0693640G;Organisme de formation-Centre de formation d'apprentis INSTITUT SUPERIEUR DE PLASTURGIE APPLIQUEE LYON;AUVERGNE-RHONE-ALPES;BTS;43.0;76.0;23.0;25.0;;;;30234.0
cumul 2023-2024;0693701Y;Organisme de formation-Centre de formation d'apprentis AFTRAL TRANSPORT ET LOGISTIQUE VAULX EN VELIN;AUVERGNE-RHONE-ALPES;Autres formations de niveau 3;;;;;;;;30250.0
cumul 2023-2024;0693702Z;Organisme de formation-Centre de formation d'apprentis INSTITUT NATIONAL DE L'HYGIENE ET DU NETTOYAGE INDUSTRIEL;AUVERGNE-RHONE-ALPES;CAP;45.0;;;52.0;;;;30257.0
cumul 2023-2024;0693764S;AKTEAP;AUVERGNE-RHONE-ALPES;BTS;47.0;69.0;27.0;34.0;;;;30269.0
cumul 2023-2024;0693764S;AKTEAP;AUVERGNE-RHONE-ALPES;CAP;31.0;68.0;;33.0;;;;30270.0
cumul 2023-2024;0693764S;AKTEAP;AUVERGNE-RHONE-ALPES;MC3;21.0;70.0;16.0;27.0;;;;30271.0
cumul 2023-2024;0693764S;AKTEAP;AUVERGNE-RHONE-ALPES;MC4;47.0;78.0;7.0;20.0;;;;30272.0
cumul 2023-2024;0694202T;Centre de formation continue Opus formation;AUVERGNE-RHONE-ALPES;Autres formations de niveau 3;4.0;55.0;;52.0;;;;30290.0
cumul 2023-2024;0694286J;Ecole supérieure privée ECORIS LYON;AUVERGNE-RHONE-ALPES;BTS;57.0;52.0;50.0;54.0;;;;30304.0
cumul 2023-2024;0694324A;Centre de formation continue métiers du sport Innova Formation;AUVERGNE-RHONE-ALPES;MC4;;;;;;;;30312.0
cumul 2023-2024;0694364U;Ecole technique supérieure privée de commerce vente ACFAL Formation;AUVERGNE-RHONE-ALPES;BTS;;;;58.0;;;;30323.0
cumul 2023-2024;0694376G;Organisme de formation-Centre de formation d'apprentis O R T Lyon;AUVERGNE-RHONE-ALPES;BTS;79.0;;19.0;43.0;;;;30326.0
cumul 2023-2024;0694422G;Organisme de formation-Centre de formation d'apprentis ECOLE SECRETE DE GASTRONOMIE MARCY L'ETOILE;AUVERGNE-RHONE-ALPES;MC3;;;;;;;;30343.0
cumul 2023-2024;0694427M;Organisme de formation-Centre de formation d'apprentis FERGUSS ACADEMIE MARENNES;AUVERGNE-RHONE-ALPES;Autres formations de niveau 3;35.0;62.0;;33.0;;;;30344.0
cumul 2023-2024;0694441C;Ecole technique supérieure privée Institut du Transport et de la Logistique Internationale AFTRAL ISTELI;AUVERGNE-RHONE-ALPES;Autres formations de niveau 5;36.0;;;17.0;;;;30359.0
cumul 2023-2024;0694442D;Ecole technique supérieure privée des professionnels du tourisme;AUVERGNE-RHONE-ALPES;Autres formations de niveau 5;8.0;47.0;;;;;;30361.0
cumul 2023-2024;0694458W;Organisme de formation-Centre de formation d'apprentis MFR VAL DE COISE ST SYMPHORIEN SUR COISE;AUVERGNE-RHONE-ALPES;BP;16.0;84.0;;34.0;;;;30366.0
cumul 2023-2024;0694458W;Organisme de formation-Centre de formation d'apprentis MFR VAL DE COISE ST SYMPHORIEN SUR COISE;AUVERGNE-RHONE-ALPES;CAP;72.0;50.0;;40.0;;;;30367.0
cumul 2023-2024;0694470J;Organisme de formation-Centre de formation d'apprentis 2nd ACADEMY DECINES CHARPIEU;AUVERGNE-RHONE-ALPES;Autres formations de niveau 5;44.0;76.0;;31.0;;;;30371.0
cumul 2023-2024;0694472L;Organisme de formation-Centre de formation d'apprentis Institut de Formation Rhône-Alpes VAULX EN VELIN;AUVERGNE-RHONE-ALPES;Autres formations de niveau 4;;;;;;;;30372.0
cumul 2023-2024;0694477S;Organisme de formation-Centre de formation d'apprentis Métiers Santé Social Auvergne Rhone Alpes MSS AURA LYON;AUVERGNE-RHONE-ALPES;Autres formations de niveau 3;22.0;68.0;;25.0;;;;30374.0
cumul 2023-2024;0694479U;Organisme de formation-Centre de formation d'apprentis ACADEMIE ZOUZOUS APPRENTISSAGE PROFESSIONNEL LYON;AUVERGNE-RHONE-ALPES;CAP;25.0;56.0;40.0;31.0;;;;30380.0
cumul 2023-2024;0694480V;GRETA-CFA Hôtellerie-Restauration-Alimentation;AUVERGNE-RHONE-ALPES;Autres formations de niveau 4;;;;35.0;;;;30381.0
cumul 2023-2024;0694480V;GRETA-CFA Hôtellerie-Restauration-Alimentation;AUVERGNE-RHONE-ALPES;BTS;23.0;72.0;52.0;55.0;;;;30384.0
cumul 2023-2024;0694480V;GRETA-CFA Hôtellerie-Restauration-Alimentation;AUVERGNE-RHONE-ALPES;CAP;38.0;66.0;42.0;44.0;;;;30385.0
cumul 2023-2024;0694501T;Organisme de formation-Centre de formation d'apprentis NEPSOD EVOLUTION TARARE;AUVERGNE-RHONE-ALPES;Autres formations de niveau 3;;;;;;;;30393.0
cumul 2023-2024;0694553Z;Organisme de formation-Centre de formation d'apprentis ABSUP LYON Lafayette;AUVERGNE-RHONE-ALPES;Autres formations de niveau 5;26.0;;;40.0;;;;30406.0
cumul 2023-2024;0700796K;CFA de la Haute-Saône;BOURGOGNE-FRANCHE-COMTE;BTS;;;;;;;;30427.0
cumul 2023-2024;0700954G;Maison Familiale Rurale de Combeaufon;BOURGOGNE-FRANCHE-COMTE;BAC;55.0;;;31.0;;;;30430.0
cumul 2023-2024;0711078L;CIFA JEAN LAMELOISE;BOURGOGNE-FRANCHE-COMTE;Autres formations de niveau 5;;;;;;;;30451.0
cumul 2023-2024;0711078L;CIFA JEAN LAMELOISE;BOURGOGNE-FRANCHE-COMTE;CAP;53.0;62.0;38.0;20.0;;;;30455.0
cumul 2023-2024;0711096F;Bâtiment CFA Bourgogne Franche-Comté Site Autun;BOURGOGNE-FRANCHE-COMTE;Autres formations de niveau 4;;;;;;;;30457.0
cumul 2023-2024;0711096F;Bâtiment CFA Bourgogne Franche-Comté Site Autun;BOURGOGNE-FRANCHE-COMTE;BP;19.0;79.0;48.0;34.0;;;;30458.0
