persona,organisation_nom,organisation_nom_legal,siren,siret,annee_creation,date_creation_source_url,adresse_ville,adresse_departement,adresse_region,site_web_url,linkedin_entreprise_url,type_structure,modalite_presume,preuve_modalite,contact_nom,contact_role,contact_linkedin_url,contact_email_public,contact_tel_public,source_contact_preuve,notes_qualite,score_fit,raisons_score
A,CFA MERCURE,CFA MERCURE,939717856,93971785600016,2025,https://annuaire-entreprises.data.gouv.fr/entreprise/939717856,PERPIGNAN,66,Occitanie,https://annuaire-entreprises.data.gouv.fr/entreprise/939717856,,CFA,presentiel,Déduit du nom/type (CFA = généralement présentiel),Stéphane Bouils,Gérant,,,,API recherche-entreprises.api.gouv.fr (SIREN 939717856),"Spécialité DGEFP: Enseignement, formation | 0 stagiaires déclarés",95,CFA identifié | Création 2025 (critère principal) | Hors IDF (66) | Confirmé base DGEFP
A,CFA PARVATI (SKOOL N'JOB),CFA PARVATI,940245996,94024599600019,2025,https://annuaire-entreprises.data.gouv.fr/entreprise/940245996,PERPIGNAN,66,Occitanie,https://annuaire-entreprises.data.gouv.fr/entreprise/940245996,,CFA,presentiel,Déduit du nom/type (CFA = généralement présentiel),Stéphane Bouils,Gérant,,,,API recherche-entreprises.api.gouv.fr (SIREN 940245996),Spécialité DGEFP: Autres... | 0 stagiaires déclarés,95,CFA identifié | Création 2025 (critère principal) | Hors IDF (66) | Confirmé base DGEFP
A,CFA TERRITOIRE ET METIERS,CFA TERRITOIRE ET METIERS,988774006,98877400600015,2025,https://annuaire-entreprises.data.gouv.fr/entreprise/988774006,SAINT-ANDRE,974,La Réunion,https://annuaire-entreprises.data.gouv.fr/entreprise/988774006,,CFA,presentiel,Déduit du nom/type (CFA = généralement présentiel),Jean Nourby,Gérant,,,,API recherche-entreprises.api.gouv.fr (SIREN 988774006),"Spécialité DGEFP: Commerce, vente | 0 stagiaires déclarés",95,CFA identifié | Création 2025 (critère principal) | Hors IDF (974) | Confirmé base DGEFP
A,AMCA CFA (AMCA CENTRE DE FORMATION POUR APPRENTIS),AMCA CFA,931706717,93170671700010,2024,https://annuaire-entreprises.data.gouv.fr/entreprise/931706717,SAINT-CHAMOND,42,Auvergne-Rhône-Alpes,https://annuaire-entreprises.data.gouv.fr/entreprise/931706717,,CFA,presentiel,Déduit du nom/type (CFA = généralement présentiel),Mariam Kessouri,Gérant,,,,API recherche-entreprises.api.gouv.fr (SIREN 931706717),Spécialité DGEFP: Spécialités plurivalentes sanitaires et sociales | 0 stagiaires déclarés,95,CFA identifié | Création 2024 (critère principal) | Hors IDF (42) | Confirmé base DGEFP
A,CFA PETITE CAMARGUE,CFA PETITE CAMARGUE,980896690,98089669000024,2023,https://annuaire-entreprises.data.gouv.fr/entreprise/980896690,LE CRES,34,Occitanie,https://annuaire-entreprises.data.gouv.fr/entreprise/980896690,,CFA,presentiel,Déduit du nom/type (CFA = généralement présentiel),Thibaud Molero,Président de SAS,,,,API recherche-entreprises.api.gouv.fr (SIREN 980896690),"Spécialité DGEFP: Commerce, vente | 17 stagiaires déclarés",95,CFA identifié | Création 2023 (critère principal) | Hors IDF (34) | Confirmé base DGEFP
A,CFA MOSELLE SUD,CFA MOSELLE SUD,983512120,98351212000012,2023,https://annuaire-entreprises.data.gouv.fr/entreprise/983512120,SARREBOURG,57,Grand Est,https://annuaire-entreprises.data.gouv.fr/entreprise/983512120,,CFA,presentiel,Déduit du nom/type (CFA = généralement présentiel),Amandine Cluzel-capelli (decotte),Directeur Général,,,,API recherche-entreprises.api.gouv.fr (SIREN 983512120),"Spécialité DGEFP: Comptabilité, gestion | 0 stagiaires déclarés",95,CFA identifié | Création 2023 (critère principal) | Hors IDF (57) | Confirmé base DGEFP
A,SAS CFA FORM'FACTORY LB,SAS CFA FORM'FACTORY LB,928762533,92876253300018,2024,https://annuaire-entreprises.data.gouv.fr/entreprise/928762533,VAULX-EN-VELIN,69,Auvergne-Rhône-Alpes,https://annuaire-entreprises.data.gouv.fr/entreprise/928762533,,CFA,presentiel,Déduit du nom/type (CFA = généralement présentiel),Karima Benahmed,Président de SAS,,,,API recherche-entreprises.api.gouv.fr (SIREN 928762533),"Spécialité DGEFP: Commerce, vente | 0 stagiaires déclarés",95,CFA identifié | Création 2024 (critère principal) | Hors IDF (69) | Confirmé base DGEFP
A,CFA AVENIR DES METIERS DU CHEVAL,CFA AVENIR DES METIERS DU CHEVAL,929857605,92985760500018,2024,https://annuaire-entreprises.data.gouv.fr/entreprise/929857605,VILLEBERNIER,49,Pays de la Loire,https://annuaire-entreprises.data.gouv.fr/entreprise/929857605,,CFA,presentiel,Déduit du nom/type (CFA = généralement présentiel),Edouard Chauvet,Directeur Général,,,,API recherche-entreprises.api.gouv.fr (SIREN 929857605),Spécialité DGEFP: Autres... | 0 stagiaires déclarés,95,CFA identifié | Création 2024 (critère principal) | Hors IDF (49) | Confirmé base DGEFP
A,SAS AFR OI CFA,SAS AFR OI CFA,937954626,93795462600019,2024,https://annuaire-entreprises.data.gouv.fr/entreprise/937954626,BRAS-PANON,974,La Réunion,https://annuaire-entreprises.data.gouv.fr/entreprise/937954626,,CFA,presentiel,Déduit du nom/type (CFA = généralement présentiel),Johnny Petiaye,Directeur Général,,,,API recherche-entreprises.api.gouv.fr (SIREN 937954626),Spécialité DGEFP: Spécialités plurivalentes des échanges et de la gestion | 0 stagiaires déclarés,95,CFA identifié | Création 2024 (critère principal) | Hors IDF (974) | Confirmé base DGEFP
A,NJR CONSEIL FORMATION AUDIT (NJR CFA),NJR CONSEIL FORMATION AUDIT,925050213,92505021300014,2023,https://annuaire-entreprises.data.gouv.fr/entreprise/925050213,LE MANS,72,Pays de la Loire,https://annuaire-entreprises.data.gouv.fr/entreprise/925050213,,CFA,presentiel,Déduit du nom/type (CFA = généralement présentiel),Jules Ngambi,Président de SAS,,,,API recherche-entreprises.api.gouv.fr (SIREN 925050213),0 stagiaires déclarés,95,CFA identifié | Création 2023 (critère principal) | Hors IDF (72) | Confirmé base DGEFP
A,CENTRE DE FORMATION D'APPRENTIS AVENIR PROFESSIONNEL (CFA AVENIR PROFESSIONNEL),CENTRE DE FORMATION D'APPRENTIS AVENIR PROFESSIONNEL,985281039,98528103900018,2024,https://annuaire-entreprises.data.gouv.fr/entreprise/985281039,SAINT-MARTIAL-DE-VALETTE,24,Nouvelle-Aquitaine,https://annuaire-entreprises.data.gouv.fr/entreprise/985281039,,CFA,presentiel,Déduit du nom/type (CFA = généralement présentiel),Valerie Desvard,Président de SAS,,,,API recherche-entreprises.api.gouv.fr (SIREN 985281039),"Spécialité DGEFP: Secrétariat, bureautique | 0 stagiaires déclarés",95,CFA identifié | Création 2024 (critère principal) | Hors IDF (24) | Confirmé base DGEFP
A,CENTRE DE FORMATION D'APPRENTIS DE LA MOBILITE (SARL),CENTRE DE FORMATION D'APPRENTIS DE LA MOBILITE,953823382,95382338200031,2023,https://annuaire-entreprises.data.gouv.fr/entreprise/953823382,BISCHHEIM,67,Grand Est,https://annuaire-entreprises.data.gouv.fr/entreprise/953823382,,CFA,presentiel,,Jonathan Hess,Gérant,,,,API recherche-entreprises.api.gouv.fr (SIREN 953823382),Spécialité DGEFP: Moteurs et mécanique auto | 156 stagiaires déclarés,95,CFA identifié | Création 2023 (critère principal) | Hors IDF (67) | Confirmé base DGEFP
A,AGRI APPRENTISSAGE,AGRI APPRENTISSAGE,943964957,94396495700014,2025,https://annuaire-entreprises.data.gouv.fr/entreprise/943964957,L'ETANG-SALE,974,La Réunion,https://annuaire-entreprises.data.gouv.fr/entreprise/943964957,,CFA,presentiel,CFA = généralement présentiel,Stéphanie Cantin,Gérant,,,,API recherche-entreprises.api.gouv.fr (SIREN 943964957),"Spécialité DGEFP: Productions végétales,cultures spécialisées | 0 stagiaires déclarés",95,CFA identifié | Création 2025 (critère principal) | Hors IDF (974) | Confirmé base DGEFP
A,ACADEMIE DE FORMATION ET D'APPRENTISSAGE,ACADEMIE DE FORMATION ET D'APPRENTISSAGE,937536746,93753674600012,2024,https://annuaire-entreprises.data.gouv.fr/entreprise/937536746,DZAOUDZI,976,Mayotte,https://annuaire-entreprises.data.gouv.fr/entreprise/937536746,,CFA,presentiel,CFA = généralement présentiel,Djayda Chamssidine,Président de SAS,,,,API recherche-entreprises.api.gouv.fr (SIREN 937536746),"Spécialité DGEFP: Agro-alimentaire, alimentation, cuisine | 0 stagiaires déclarés",95,CFA identifié | Création 2024 (critère principal) | Hors IDF (976) | Confirmé base DGEFP
A,HEA (HEALTH EDUCATION AND APPRENTISSAGE),HEA,948518097,94851809700019,2023,https://annuaire-entreprises.data.gouv.fr/entreprise/948518097,LILLE,59,Hauts-de-France,https://annuaire-entreprises.data.gouv.fr/entreprise/948518097,,CFA,presentiel,CFA = généralement présentiel,Sébastien Carbonnet,Président de SAS,,,,API recherche-entreprises.api.gouv.fr (SIREN 948518097),Spécialité DGEFP: Santé | 252 stagiaires déclarés,95,CFA identifié | Création 2023 (critère principal) | Hors IDF (59) | Confirmé base DGEFP
A,CFA CONNECT,CFA CONNECT,992890590,99289059000019,2025,https://annuaire-entreprises.data.gouv.fr/entreprise/992890590,CLERMONT-FERRAND,63,Auvergne-Rhône-Alpes,https://annuaire-entreprises.data.gouv.fr/entreprise/992890590,,CFA,presentiel,Déduit du nom/type (CFA = généralement présentiel),Florent Fabulet,Président de SAS,,,,API recherche-entreprises.api.gouv.fr (SIREN 992890590),,90,CFA identifié | Création 2025 (critère principal) | Hors IDF (63)
A,CFA OI (CFA OI),CFA OI,932136195,93213619500017,2024,https://annuaire-entreprises.data.gouv.fr/entreprise/932136195,SAINT-ANDRE,974,La Réunion,https://annuaire-entreprises.data.gouv.fr/entreprise/932136195,,CFA,presentiel,Déduit du nom/type (CFA = généralement présentiel),Marianne Lebreton,Directeur Général,,,,API recherche-entreprises.api.gouv.fr (SIREN 932136195),,90,CFA identifié | Création 2024 (critère principal) | Hors IDF (974)
A,ACADEMIR CFA,ACADEMIR CFA,990466963,99046696300016,2025,https://annuaire-entreprises.data.gouv.fr/entreprise/990466963,SAINT-ETIENNE,42,Auvergne-Rhône-Alpes,https://annuaire-entreprises.data.gouv.fr/entreprise/990466963,,CFA,presentiel,Déduit du nom/type (CFA = généralement présentiel),Mohammed Elkerbadji,Président de SAS,,,,API recherche-entreprises.api.gouv.fr (SIREN 990466963),"Spécialité DGEFP: Informatique, traitement de l'information, réseaux de transm | 0 stagiaires déclarés",95,CFA identifié | Création 2025 (critère principal) | Hors IDF (42) | Confirmé base DGEFP
A,BS ACADEMY CFA,BS ACADEMY CFA,990334518,99033451800018,2025,https://annuaire-entreprises.data.gouv.fr/entreprise/990334518,SAINT-ETIENNE,42,Auvergne-Rhône-Alpes,https://annuaire-entreprises.data.gouv.fr/entreprise/990334518,,CFA,presentiel,Déduit du nom/type (CFA = généralement présentiel),Nordine Gherib,Président de SAS,,,,API recherche-entreprises.api.gouv.fr (SIREN 990334518),,90,CFA identifié | Création 2025 (critère principal) | Hors IDF (42)
A,CFA TREMPLIN OCCITANIE (CFA TREMPLIN OCCITANIE),CFA TREMPLIN OCCITANIE,999743214,99974321400010,2026,https://annuaire-entreprises.data.gouv.fr/entreprise/999743214,LOURDES,65,Occitanie,https://annuaire-entreprises.data.gouv.fr/entreprise/999743214,,CFA,presentiel,Déduit du nom/type (CFA = généralement présentiel),Tarik Zanzoune,Président de SAS,,,,API recherche-entreprises.api.gouv.fr (SIREN 999743214),,90,CFA identifié | Création 2026 (critère principal) | Hors IDF (65)
A,CFA STUDIO AVENIR PRO (SKOOL N'JOB),CFA STUDIO AVENIR PRO,944604214,94460421400014,2025,https://annuaire-entreprises.data.gouv.fr/entreprise/944604214,VILLERS SUR FERE,02,Hauts-de-France,https://annuaire-entreprises.data.gouv.fr/entreprise/944604214,,CFA,presentiel,Déduit du nom/type (CFA = généralement présentiel),Stéphane Bouils,Gérant,,,,API recherche-entreprises.api.gouv.fr (SIREN 944604214),"Spécialité DGEFP: Enseignement, formation | 0 stagiaires déclarés",95,CFA identifié | Création 2025 (critère principal) | Hors IDF (02) | Confirmé base DGEFP
A,CFA AGDE MEDITERRANEE,CFA AGDE MEDITERRANEE,980899504,98089950400016,2023,https://annuaire-entreprises.data.gouv.fr/entreprise/980899504,AGDE,34,Occitanie,https://annuaire-entreprises.data.gouv.fr/entreprise/980899504,,CFA,presentiel,Déduit du nom/type (CFA = généralement présentiel),Thibaud Molero,Président de SAS,,,,API recherche-entreprises.api.gouv.fr (SIREN 980899504),,90,CFA identifié | Création 2023 (critère principal) | Hors IDF (34)
A,PIERRE BOURGER (BEE CFA),,951796051,95179605100013,2023,https://annuaire-entreprises.data.gouv.fr/entreprise/951796051,STRASBOURG,67,Grand Est,https://annuaire-entreprises.data.gouv.fr/entreprise/951796051,,CFA,presentiel,Déduit du nom/type (CFA = généralement présentiel),Pierre Bourger,,,,,API recherche-entreprises.api.gouv.fr (SIREN 951796051),,90,CFA identifié | Création 2023 (critère principal) | Hors IDF (67)
A,ADRIEN GALVAIN (FORMATION CFA),,995312030,99531203000019,2025,https://annuaire-entreprises.data.gouv.fr/entreprise/995312030,LE TEIL,07,Auvergne-Rhône-Alpes,https://annuaire-entreprises.data.gouv.fr/entreprise/995312030,,CFA,presentiel,Déduit du nom/type (CFA = généralement présentiel),Adrien Galvain,,,,,API recherche-entreprises.api.gouv.fr (SIREN 995312030),,90,CFA identifié | Création 2025 (critère principal) | Hors IDF (07)
A,MAY APPRENTISSAGE PLUS,MAY APPRENTISSAGE PLUS,988022968,98802296800016,2025,https://annuaire-entreprises.data.gouv.fr/entreprise/988022968,CHIRONGUI,976,Mayotte,https://annuaire-entreprises.data.gouv.fr/entreprise/988022968,,CFA,presentiel,CFA = généralement présentiel,Karim Es soulami,Président de SAS,,,,API recherche-entreprises.api.gouv.fr (SIREN 988022968),,90,CFA identifié | Création 2025 (critère principal) | Hors IDF (976)
